- GL 2020-10-31
L:azumaril,toxicroak,beedrill
L:froslas, beedrill, scizor
W:driftblim, mandibuzz, beedrill
L:driftblim, umbreon, beedrill
W:crustle, al_marowak, azumaril
W:azumaril, toxicroak, clefable
L:al_marowak, azumaril, ?
L:driftblim, beedrill, azumaril
L:umbreon, obstagoon, scizor
W:crustle, victreebell, umbreon
L:scizor, wigglytuff, ?
L:victreebell, al_marowak, ?
D:crustle, victreebell, al_ninetales
W:sharpedo, victreebell, granbull
W:granbull, cleffable, wigglytuff
W:wigglytuff, al_marowak, umbreon
W:galvulenta, al_marowak, beedrill
L:toxicroak, azumaril, crustle
W:granbull, venusaur, obstagoon
W:froslass, beedrill, obstagoon
- GL 2020-11-01
L: haunter, al_marowak, clefable
W: Golbat, al_muk, scrafty
L: azumaril, al_marowak, beedrill
W: driftblim, azuamril, umbreon
W: azumaril, al_marowak, cleffable
L: toxicroak, azumaril, galventula
L: crustle, al_marowak, cleffable
W: wigglytuff, azumaril, umbreon
L: swalot, azumaril, toxicroak
W: al_muk, galvuntal, crustle
